[    5s] live=6487    est=6487    fail=0      rej=0      stall=0      drop=0      frames/s=3755     p50=41.0ms p99=81.9ms heap=39MB
[   10s] live=12987   est=12987   fail=0      rej=0      stall=0      drop=0      frames/s=8651     p50=65.5ms p99=229.4ms heap=77MB
[   15s] live=19476   est=19476   fail=0      rej=0      stall=0      drop=0      frames/s=14925    p50=98.3ms p99=393.2ms heap=110MB
ramp complete in 15.6s: established=20000 failed=0 rejected=0
[   20s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20284    p50=131.1ms p99=393.2ms heap=114MB
[   25s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20137    p50=131.1ms p99=393.2ms heap=115MB
[   30s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20179    p50=163.8ms p99=393.2ms heap=115MB
[   35s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19933    p50=163.8ms p99=393.2ms heap=115MB
[   40s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19670    p50=163.8ms p99=393.2ms heap=116MB
[   45s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19975    p50=163.8ms p99=393.2ms heap=116MB
[   50s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20323    p50=163.8ms p99=393.2ms heap=117MB
[   55s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19331    p50=163.8ms p99=393.2ms heap=117MB
[   60s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20571    p50=163.8ms p99=393.2ms heap=117MB
[   65s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19779    p50=163.8ms p99=393.2ms heap=118MB
[   70s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20176    p50=163.8ms p99=393.2ms heap=118MB
[   75s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19792    p50=163.8ms p99=393.2ms heap=118MB
[   80s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20263    p50=163.8ms p99=393.2ms heap=119MB
[   85s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19762    p50=163.8ms p99=393.2ms heap=119MB
[   90s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19960    p50=163.8ms p99=393.2ms heap=120MB
[   95s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20145    p50=163.8ms p99=393.2ms heap=120MB
[  100s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20279    p50=163.8ms p99=393.2ms heap=120MB
[  105s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19615    p50=163.8ms p99=393.2ms heap=121MB
{
  "bytesPerSec": 5339923.023051651,
  "clientGoroutines": 20002,
  "clientHeapMb": 120.83161163330078,
  "connFailed": 0,
  "connRejected": 0,
  "connStalled": 0,
  "deliveryRatio": 0.9999855848411332,
  "dialed": 20000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 20000,
  "expectedFramesDuringHold": 1800025.9476599998,
  "firstFrameSeen": 20000,
  "framesDuringHold": 1800000,
  "framesPerSec": 19999.711696822666,
  "holdSeconds": 90.001297383,
  "id": "1",
  "latencyMillis": {
    "max": 458.752,
    "p50": 163.84,
    "p90": 262.144,
    "p95": 327.68,
    "p99": 393.216,
    "p999": 458.752
  },
  "liveAtEnd": 20000,
  "liveAtHoldStart": 20000,
  "malformed": 0,
  "mbitPerSec": 42.71938418441321,
  "mode": "ws",
  "rampRate": 1333,
  "rampSeconds": 15.593392452,
  "requestedConns": 20000,
  "rooms": 1,
  "target": "192.168.155.2:8080"
}
