1789658262 ssebench-server=319.75% 
1789658268 ssebench-client-1=14.31% ssebench-server=86.75% 
1789658275 ssebench-client-1=16.98% ssebench-server=57.09% 
1789658282 ssebench-client-1=13.77% ssebench-server=58.32% 
1789658289 ssebench-client-1=14.74% ssebench-server=62.05% 
1789658296 ssebench-client-1=15.14% ssebench-server=116.20% 
1789658303 ssebench-client-1=13.51% ssebench-server=52.47% 
1789658310 ssebench-client-1=18.55% ssebench-server=57.98% 
1789658317 ssebench-client-1=12.53% ssebench-server=44.87% 
1789658325 ssebench-client-1=14.64% ssebench-server=54.29% 
1789658332 ssebench-client-1=12.97% ssebench-server=51.93% 
1789658339 ssebench-client-1=15.52% ssebench-server=61.03% 
1789658346 ssebench-client-1=13.37% ssebench-server=56.62% 
1789658353 ssebench-client-1=12.95% ssebench-server=43.41% 
