[    5s] live=9980    est=9980    fail=0      rej=0      drop=0      frames/s=4076     p50=81.9ms p99=262.1ms heap=57MB
[   10s] live=19960   est=19960   fail=0      rej=0      drop=0      frames/s=14146    p50=131.1ms p99=524.3ms heap=114MB
ramp complete in 10.2s: established=20000 failed=0 rejected=0
[   15s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19993    p50=163.8ms p99=458.8ms heap=115MB
[   20s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19999    p50=163.8ms p99=458.8ms heap=115MB
[   25s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20010    p50=196.6ms p99=524.3ms heap=116MB
[   30s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19989    p50=196.6ms p99=524.3ms heap=116MB
[   35s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20003    p50=196.6ms p99=524.3ms heap=116MB
[   40s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19999    p50=196.6ms p99=524.3ms heap=117MB
[   45s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20005    p50=196.6ms p99=655.4ms heap=117MB
[   50s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19995    p50=196.6ms p99=655.4ms heap=118MB
[   55s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20007    p50=196.6ms p99=655.4ms heap=118MB
[   60s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20001    p50=196.6ms p99=524.3ms heap=118MB
[   65s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19997    p50=196.6ms p99=524.3ms heap=119MB
[   70s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19997    p50=196.6ms p99=524.3ms heap=119MB
[   75s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20007    p50=196.6ms p99=524.3ms heap=119MB
[   80s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19992    p50=196.6ms p99=524.3ms heap=120MB
[   85s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20008    p50=196.6ms p99=524.3ms heap=120MB
[   90s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=19997    p50=196.6ms p99=524.3ms heap=121MB
[   95s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20002    p50=196.6ms p99=524.3ms heap=121MB
[  100s] live=20000   est=20000   fail=0      rej=0      drop=0      frames/s=20001    p50=196.6ms p99=524.3ms heap=121MB
{
  "bytesPerSec": 5348698.280554733,
  "clientGoroutines": 20002,
  "clientHeapMb": 121.35350036621094,
  "connFailed": 0,
  "connRejected": 0,
  "deliveryRatio": 1.0016288914896505,
  "dialed": 20000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 20000,
  "expectedFramesDuringHold": 1800000.9936999998,
  "firstFrameSeen": 20000,
  "framesDuringHold": 1802933,
  "framesPerSec": 20032.57782979301,
  "holdSeconds": 90.000049685,
  "id": "1",
  "latencyMillis": {
    "max": 917.504,
    "p50": 196.608,
    "p90": 327.68,
    "p95": 393.216,
    "p99": 524.288,
    "p999": 786.432
  },
  "liveAtEnd": 20000,
  "liveAtHoldStart": 20000,
  "malformed": 0,
  "mbitPerSec": 42.789586244437864,
  "mode": "ws",
  "rampRate": 2000,
  "rampSeconds": 10.210094962,
  "requestedConns": 20000,
  "rooms": 1,
  "target": "192.168.155.2:8080"
}
