[    5s] live=3992    est=3992    fail=0      rej=0      stall=0      drop=0      frames/s=1900     p50=41.0ms p99=81.9ms heap=22MB
[   10s] live=7992    est=7992    fail=0      rej=0      stall=0      drop=0      frames/s=5900     p50=57.3ms p99=163.8ms heap=45MB
[   15s] live=11992   est=11992   fail=0      rej=0      stall=0      drop=0      frames/s=9899     p50=81.9ms p99=262.1ms heap=73MB
[   20s] live=15992   est=15992   fail=0      rej=0      stall=0      drop=0      frames/s=13894    p50=114.7ms p99=393.2ms heap=90MB
[   25s] live=19992   est=19992   fail=0      rej=0      stall=0      drop=0      frames/s=17889    p50=163.8ms p99=458.8ms heap=119MB
ramp complete in 25.2s: established=20000 failed=0 rejected=0
[   30s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19969    p50=163.8ms p99=458.8ms heap=119MB
[   35s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19998    p50=196.6ms p99=458.8ms heap=120MB
[   40s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20009    p50=196.6ms p99=458.8ms heap=120MB
[   45s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20020    p50=196.6ms p99=458.8ms heap=120MB
[   50s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19995    p50=196.6ms p99=458.8ms heap=121MB
[   55s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20002    p50=229.4ms p99=458.8ms heap=121MB
[   60s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19994    p50=229.4ms p99=458.8ms heap=122MB
[   65s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19996    p50=229.4ms p99=458.8ms heap=122MB
[   70s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19986    p50=229.4ms p99=458.8ms heap=122MB
[   75s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20031    p50=229.4ms p99=458.8ms heap=123MB
[   80s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19972    p50=229.4ms p99=458.8ms heap=123MB
[   85s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20027    p50=229.4ms p99=458.8ms heap=123MB
[   90s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19972    p50=229.4ms p99=458.8ms heap=124MB
[   95s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20004    p50=229.4ms p99=458.8ms heap=124MB
[  100s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20023    p50=229.4ms p99=458.8ms heap=125MB
[  105s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19981    p50=229.4ms p99=458.8ms heap=125MB
[  110s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=19991    p50=229.4ms p99=458.8ms heap=125MB
[  115s] live=20000   est=20000   fail=0      rej=0      stall=0      drop=0      frames/s=20036    p50=229.4ms p99=458.8ms heap=126MB
{
  "bytesPerSec": 5339979.4601843385,
  "clientGoroutines": 20002,
  "clientHeapMb": 125.75069427490234,
  "connFailed": 0,
  "connRejected": 0,
  "connStalled": 0,
  "deliveryRatio": 0.9999961535925727,
  "dialed": 20000,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 20000,
  "expectedFramesDuringHold": 1800006.92356,
  "firstFrameSeen": 20000,
  "framesDuringHold": 1800000,
  "framesPerSec": 19999.923071851452,
  "holdSeconds": 90.000346178,
  "id": "5",
  "latencyMillis": {
    "max": 655.36,
    "p50": 229.376,
    "p90": 393.216,
    "p95": 393.216,
    "p99": 458.752,
    "p999": 524.288
  },
  "liveAtEnd": 20000,
  "liveAtHoldStart": 20000,
  "malformed": 0,
  "mbitPerSec": 42.719835681474706,
  "mode": "ws",
  "rampRate": 800,
  "rampSeconds": 25.206437575,
  "requestedConns": 20000,
  "rooms": 1,
  "streamsPerConn": 1,
  "target": "192.168.156.2:8080"
}
