1789659118 ssebench-server=315.84% 
1789659124 ssebench-client-1=405.85% ssebench-server=100.42% 
1789659131 ssebench-client-1=23.53% ssebench-server=76.10% 
1789659139 ssebench-client-1=21.46% ssebench-server=85.14% 
1789659146 ssebench-client-1=15.94% ssebench-server=86.06% 
1789659153 ssebench-client-1=39.60% ssebench-server=138.79% 
1789659160 ssebench-client-1=30.18% ssebench-server=179.41% 
1789659167 ssebench-client-1=88.83% ssebench-server=145.22% 
1789659175 ssebench-client-1=45.58% ssebench-server=114.75% 
1789659182 ssebench-client-1=36.75% ssebench-server=117.31% 
1789659189 ssebench-client-1=35.16% ssebench-server=214.16% 
1789659196 ssebench-client-1=31.07% ssebench-server=77.45% 
1789659203 ssebench-client-1=50.71% ssebench-server=153.65% 
1789659211 ssebench-client-1=42.47% ssebench-server=252.25% 
1789659218 ssebench-client-1=38.27% ssebench-server=97.18% 
