1789654911 ssebench-server=332.31% 
1789654918 ssebench-client-1=8.18% ssebench-server=32.46% 
1789654925 ssebench-client-1=6.97% ssebench-server=23.99% 
1789654932 ssebench-client-1=8.73% ssebench-server=42.95% 
1789654939 ssebench-client-1=6.89% ssebench-server=27.20% 
1789654946 ssebench-client-1=5.73% ssebench-server=29.73% 
1789654953 ssebench-client-1=7.07% ssebench-server=41.04% 
1789654961 ssebench-client-1=5.80% ssebench-server=40.31% 
1789654968 ssebench-client-1=6.98% ssebench-server=34.02% 
1789654975 ssebench-client-1=8.83% ssebench-server=37.13% 
1789654982 ssebench-client-1=7.60% ssebench-server=26.21% 
1789654989 ssebench-client-1=6.67% ssebench-server=35.12% 
1789654996 ssebench-client-1=7.85% ssebench-server=28.33% 
1789655003 ssebench-client-1=0.00% ssebench-server=32.70% 
