[    5s] live=6487    est=6487    fail=0      rej=0      stall=0      drop=0      frames/s=2639     p50=41.0ms p99=81.9ms heap=35MB
[   10s] live=12974   est=12974   fail=0      rej=0      stall=0      drop=0      frames/s=9145     p50=81.9ms p99=327.7ms heap=71MB
[   15s] live=19266   est=19266   fail=0      rej=0      stall=0      drop=0      frames/s=15648    p50=114.7ms p99=458.8ms heap=101MB
ramp complete in 15.5s: established=19333 failed=0 rejected=0
[   20s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19288    p50=163.8ms p99=917.5ms heap=101MB
[   25s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19353    p50=163.8ms p99=917.5ms heap=101MB
[   30s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19338    p50=163.8ms p99=917.5ms heap=101MB
[   35s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19316    p50=163.8ms p99=917.5ms heap=101MB
[   40s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19354    p50=196.6ms p99=917.5ms heap=101MB
[   45s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19324    p50=196.6ms p99=917.5ms heap=101MB
[   50s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19330    p50=196.6ms p99=917.5ms heap=101MB
[   55s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19338    p50=196.6ms p99=917.5ms heap=101MB
[   60s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19328    p50=196.6ms p99=917.5ms heap=101MB
[   65s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19349    p50=196.6ms p99=917.5ms heap=101MB
[   70s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19326    p50=196.6ms p99=917.5ms heap=101MB
[   75s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19305    p50=196.6ms p99=917.5ms heap=101MB
[   80s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19338    p50=196.6ms p99=917.5ms heap=101MB
[   85s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19363    p50=196.6ms p99=917.5ms heap=101MB
[   90s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19299    p50=196.6ms p99=917.5ms heap=101MB
[   95s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19353    p50=196.6ms p99=917.5ms heap=101MB
[  100s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19346    p50=196.6ms p99=917.5ms heap=101MB
[  105s] live=19333   est=19333   fail=0      rej=0      stall=0      drop=0      frames/s=19334    p50=196.6ms p99=917.5ms heap=101MB
{
  "bytesPerSec": 5433921.1921670325,
  "clientGoroutines": 19335,
  "clientHeapMb": 100.98555755615234,
  "connFailed": 0,
  "connRejected": 0,
  "connStalled": 0,
  "deliveryRatio": 1.0074184060212816,
  "dialed": 19333,
  "droppedDuringHold": 0,
  "droppedTotal": 0,
  "errors": {},
  "established": 19333,
  "expectedFramesDuringHold": 1739975.157812404,
  "firstFrameSeen": 19333,
  "framesDuringHold": 1752883,
  "framesPerSec": 19476.420043609436,
  "holdSeconds": 90.000266788,
  "id": "1",
  "latencyMillis": {
    "max": 1048.576,
    "p50": 196.608,
    "p90": 786.432,
    "p95": 786.432,
    "p99": 917.504,
    "p999": 1048.576
  },
  "liveAtEnd": 19333,
  "liveAtHoldStart": 19333,
  "malformed": 0,
  "mbitPerSec": 43.47136953733626,
  "mode": "sse",
  "rampRate": 1333,
  "rampSeconds": 15.491512759,
  "requestedConns": 19333,
  "rooms": 1,
  "streamsPerConn": 1,
  "target": "192.168.156.2:8080"
}
