1789655320 ssebench-server=356.76% 
1789655327 ssebench-client-1=16.23% ssebench-server=52.41% 
1789655334 ssebench-client-1=10.46% ssebench-server=48.27% 
1789655341 ssebench-client-1=12.21% ssebench-server=71.36% 
1789655348 ssebench-client-1=10.31% ssebench-server=44.15% 
1789655355 ssebench-client-1=10.53% ssebench-server=51.85% 
1789655363 ssebench-client-1=9.85% ssebench-server=46.90% 
1789655370 ssebench-client-1=9.43% ssebench-server=56.56% 
1789655377 ssebench-client-1=9.97% ssebench-server=48.05% 
1789655384 ssebench-client-1=13.30% ssebench-server=45.40% 
1789655391 ssebench-client-1=10.45% ssebench-server=59.62% 
1789655398 ssebench-client-1=15.79% ssebench-server=69.32% 
1789655406 ssebench-client-1=16.41% ssebench-server=71.57% 
1789655413 ssebench-client-1=14.86% ssebench-server=47.01% 
